,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
0,2 punti segnato,Wayne Mccullough,Grant Golden,made,18,18,795.0,168.0,0
1,3 punti sbagliato,,Kamar Baldwin,missed,33,33,405.0,840.0,6
2,2 punti segnato,,Davide Denegri,made,48,48,1005.0,700.0,3
3,3 punti segnato,Quinn Ellis,Andrejs Grazulis,made,63,63,1455.0,84.0,8
4,2 punti sbagliato,,Grant Golden,missed,83,83,720.0,168.0,0
5,2 punti segnato,Wayne Mccullough,Grant Golden,made,93,93,765.0,196.0,0
6,2 punti segnato,,Quinn Ellis,made,113,113,825.0,140.0,0
7,2 punti segnato,,Kamar Baldwin,made,147,147,510.0,140.0,0
8,2 punti sbagliato,,Andrejs Grazulis,missed,174,174,735.0,140.0,0
9,2 punti segnato,,Andrea Pecchia,made,181,181,915.0,336.0,0
10,3 punti sbagliato,,Wayne Mccullough,missed,211,211,405.0,812.0,6
11,2 punti segnato,Quinn Ellis,Paul Stephan Biligha,made,217,217,765.0,140.0,0
12,3 punti segnato,,Kamar Baldwin,made,242,242,540.0,980.0,6
13,2 punti segnato,Nathan Adrian,Andrea Pecchia,made,269,269,840.0,168.0,0
14,2 punti segnato,Davide Alviti,Andrejs Grazulis,made,275,275,690.0,140.0,0
15,2 punti segnato,Prentiss Hubb,Davide Alviti,made,299,299,855.0,140.0,0
16,3 punti segnato,Toto Forray,Prentiss Hubb,made,366,366,330.0,756.0,6
17,3 punti sbagliato,,Trevor Lacey,missed,393,393,810.0,1008.0,7
18,3 punti sbagliato,,Toto Forray,missed,406,406,1275.0,672.0,7
19,3 punti sbagliato,,Prentiss Hubb,missed,441,441,720.0,868.0,6
20,3 punti sbagliato,,Marcus Zegarowski,missed,450,450,1470.0,280.0,8
21,2 punti segnato,,Myles Stephens,made,492,492,660.0,168.0,0
22,2 punti segnato,,Marcus Zegarowski,made,509,509,930.0,476.0,3
23,3 punti segnato,Prentiss Hubb,Mattia Udom,made,529,529,45.0,168.0,5
24,2 punti segnato,Marcus Zegarowski,Simone Zanotti,made,543,543,675.0,168.0,0
25,3 punti sbagliato,,Prentiss Hubb,missed,563,563,135.0,588.0,6
26,2 punti sbagliato,,Toto Forray,missed,569,569,795.0,448.0,3
27,2 punti segnato,Prentiss Hubb,Derek Cooke,made,573,573,765.0,140.0,0
28,3 punti segnato,,Trevor Lacey,made,598,598,1245.0,700.0,7
29,3 punti sbagliato,,Kamar Baldwin,missed,23,623,75.0,476.0,5
30,3 punti sbagliato,,Trevor Lacey,missed,57,657,1365.0,560.0,7
31,3 punti sbagliato,,Wayne Mccullough,missed,67,667,1200.0,728.0,7
32,2 punti segnato,Prentiss Hubb,Derek Cooke,made,71,671,720.0,140.0,0
33,2 punti sbagliato,,Wayne Mccullough,missed,96,696,735.0,364.0,0
34,2 punti sbagliato,,Wayne Mccullough,missed,97,697,840.0,336.0,0
35,3 punti sbagliato,,Prentiss Hubb,missed,113,713,1350.0,588.0,7
36,2 punti sbagliato,,Grant Golden,missed,126,726,855.0,252.0,0
37,3 punti sbagliato,,Andrejs Grazulis,missed,146,746,1440.0,84.0,8
38,2 punti segnato,,Trevor Lacey,made,183,783,660.0,728.0,2
39,2 punti sbagliato,,Marcus Zegarowski,missed,205,805,1080.0,588.0,3
40,2 punti segnato,,Nathan Adrian,made,206,806,1080.0,588.0,3
41,2 punti sbagliato,,Paul Stephan Biligha,missed,220,820,720.0,588.0,2
42,2 punti segnato,Grant Golden,Marcus Zegarowski,made,230,830,855.0,196.0,0
43,2 punti sbagliato,,Paul Stephan Biligha,missed,246,846,870.0,616.0,3
44,3 punti sbagliato,,Kamar Baldwin,missed,257,857,1440.0,420.0,8
45,3 punti sbagliato,,Davide Alviti,missed,263,863,225.0,756.0,6
46,2 punti segnato,Marcus Zegarowski,Grant Golden,made,270,870,855.0,224.0,0
47,3 punti segnato,Kamar Baldwin,Andrejs Grazulis,made,285,885,255.0,728.0,6
48,2 punti segnato,Marcus Zegarowski,Grant Golden,made,309,909,780.0,224.0,0
49,2 punti segnato,,Marcus Zegarowski,made,319,919,795.0,224.0,0
50,3 punti sbagliato,,Davide Alviti,missed,338,938,30.0,84.0,5
51,2 punti sbagliato,,Grant Golden,missed,359,959,585.0,196.0,0
52,3 punti segnato,Kamar Baldwin,Andrejs Grazulis,made,368,968,1410.0,504.0,8
53,2 punti segnato,Andrea Pecchia,Wayne Mccullough,made,390,990,690.0,168.0,0
54,2 punti segnato,,Kamar Baldwin,made,409,1009,1050.0,364.0,3
55,2 punti sbagliato,,Wayne Mccullough,missed,464,1064,1095.0,476.0,3
56,2 punti segnato,,Grant Golden,made,464,1064,1095.0,476.0,3
57,3 punti segnato,Prentiss Hubb,Andrejs Grazulis,made,476,1076,1365.0,560.0,7
58,3 punti sbagliato,,Marcus Zegarowski,missed,496,1096,660.0,896.0,6
59,2 punti sbagliato,,Simone Zanotti,missed,515,1115,915.0,588.0,3
60,2 punti segnato,Andrea Pecchia,Simone Zanotti,made,530,1130,795.0,140.0,0
61,2 punti sbagliato,,Paul Eboua,missed,557,1157,615.0,196.0,0
62,2 punti segnato,Prentiss Hubb,Mattia Udom,made,561,1161,750.0,140.0,0
63,2 punti sbagliato,,Andrejs Grazulis,missed,592,1192,180.0,196.0,1
64,2 punti sbagliato,,Marcus Zegarowski,missed,599,1199,405.0,168.0,1
65,2 punti segnato,Paul Stephan Biligha,Andrejs Grazulis,made,26,1226,720.0,140.0,0
66,3 punti sbagliato,,Wayne Mccullough,missed,39,1239,315.0,756.0,6
67,3 punti segnato,,Kamar Baldwin,made,53,1253,870.0,868.0,7
68,2 punti sbagliato,,Grant Golden,missed,72,1272,645.0,168.0,0
69,2 punti segnato,,Davide Denegri,made,76,1276,405.0,224.0,1
70,3 punti sbagliato,,Quinn Ellis,missed,89,1289,45.0,112.0,5
71,3 punti segnato,Andrejs Grazulis,Davide Alviti,made,102,1302,285.0,700.0,6
72,2 punti sbagliato,,Kamar Baldwin,missed,148,1348,360.0,168.0,1
73,3 punti sbagliato,,Andrejs Grazulis,missed,155,1355,615.0,868.0,6
74,3 punti segnato,Andrea Pecchia,Davide Denegri,made,163,1363,705.0,896.0,6
75,2 punti sbagliato,,Grant Golden,missed,198,1398,555.0,140.0,0
76,3 punti sbagliato,,Davide Denegri,missed,202,1402,45.0,140.0,5
77,3 punti segnato,Paul Stephan Biligha,Andrejs Grazulis,made,213,1413,480.0,840.0,6
78,2 punti sbagliato,,Davide Denegri,missed,242,1442,1230.0,588.0,3
79,2 punti segnato,,Andrea Pecchia,made,265,1465,855.0,196.0,0
80,3 punti segnato,Kamar Baldwin,Quinn Ellis,made,278,1478,1455.0,336.0,8
81,2 punti segnato,Marcus Zegarowski,Grant Golden,made,301,1501,720.0,196.0,0
82,3 punti sbagliato,,Prentiss Hubb,missed,319,1519,1455.0,168.0,8
83,3 punti sbagliato,,Nathan Adrian,missed,330,1530,1455.0,364.0,8
84,2 punti sbagliato,,Kamar Baldwin,missed,351,1551,720.0,504.0,2
85,3 punti segnato,Trevor Lacey,Marcus Zegarowski,made,360,1560,720.0,896.0,6
86,3 punti segnato,Trevor Lacey,Marcus Zegarowski,made,406,1606,570.0,868.0,6
87,2 punti segnato,,Prentiss Hubb,made,430,1630,870.0,224.0,0
88,3 punti segnato,,Marcus Zegarowski,made,451,1651,990.0,868.0,7
89,2 punti sbagliato,,Prentiss Hubb,missed,465,1665,585.0,308.0,0
90,2 punti segnato,,Paul Eboua,made,483,1683,750.0,140.0,0
91,3 punti segnato,Prentiss Hubb,Mattia Udom,made,507,1707,1455.0,140.0,8
92,3 punti sbagliato,,Mattia Udom,missed,540,1740,1455.0,224.0,8
93,3 punti sbagliato,,Trevor Lacey,missed,559,1759,1215.0,756.0,7
94,2 punti sbagliato,,Toto Forray,missed,586,1786,1065.0,280.0,4
95,2 punti sbagliato,,Grant Golden,missed,599,1799,765.0,420.0,3
96,2 punti segnato,,Trevor Lacey,made,599,1799,765.0,420.0,3
97,2 punti segnato,Prentiss Hubb,Paul Stephan Biligha,made,17,1817,870.0,224.0,0
98,2 punti sbagliato,,Paul Eboua,missed,44,1844,615.0,224.0,0
99,2 punti sbagliato,,Mattia Udom,missed,51,1851,900.0,224.0,0
100,2 punti segnato,,Myles Stephens,made,51,1851,900.0,224.0,0
101,2 punti segnato,,Wayne Mccullough,made,69,1869,405.0,588.0,2
102,3 punti sbagliato,,Prentiss Hubb,missed,78,1878,1155.0,812.0,7
103,2 punti sbagliato,,Kamar Baldwin,missed,92,1892,930.0,476.0,3
104,2 punti sbagliato,,Trevor Lacey,missed,112,1912,900.0,168.0,0
105,2 punti segnato,,Trevor Lacey,made,119,1919,600.0,448.0,2
106,3 punti sbagliato,,Myles Stephens,missed,131,1931,765.0,896.0,7
107,3 punti sbagliato,,Wayne Mccullough,missed,141,1941,495.0,868.0,6
108,3 punti sbagliato,,Myles Stephens,missed,155,1955,1455.0,252.0,8
109,3 punti sbagliato,,Simone Zanotti,missed,178,1978,960.0,896.0,7
110,2 punti sbagliato,,Kamar Baldwin,missed,191,1991,915.0,168.0,0
111,2 punti segnato,,Paul Stephan Biligha,made,191,1991,915.0,168.0,0
112,2 punti segnato,,Paul Eboua,made,211,2011,945.0,504.0,3
113,2 punti sbagliato,,Marcus Zegarowski,missed,238,2038,570.0,196.0,0
114,3 punti sbagliato,,Paul Eboua,missed,249,2049,1320.0,672.0,7
115,2 punti segnato,Davide Alviti,Kamar Baldwin,made,266,2066,735.0,364.0,0
116,2 punti sbagliato,,Marcus Zegarowski,missed,280,2080,690.0,168.0,0
117,2 punti sbagliato,,Marcus Zegarowski,missed,286,2086,840.0,224.0,0
118,2 punti sbagliato,,Kamar Baldwin,missed,292,2092,570.0,224.0,0
119,3 punti segnato,Prentiss Hubb,Andrejs Grazulis,made,303,2103,1455.0,224.0,8
120,3 punti sbagliato,,Davide Denegri,missed,328,2128,900.0,924.0,7
121,2 punti sbagliato,,Davide Denegri,missed,348,2148,870.0,140.0,0
122,2 punti segnato,,Grant Golden,made,370,2170,690.0,196.0,0
123,3 punti sbagliato,,Davide Denegri,missed,401,2201,435.0,812.0,6
124,3 punti segnato,,Trevor Lacey,made,418,2218,360.0,784.0,6
125,2 punti sbagliato,,Paul Stephan Biligha,missed,432,2232,630.0,140.0,0
126,2 punti segnato,Grant Golden,Andrea Pecchia,made,441,2241,660.0,168.0,0
127,3 punti sbagliato,,Davide Alviti,missed,461,2261,765.0,896.0,7
128,2 punti segnato,,Mattia Udom,made,462,2262,750.0,140.0,0
129,2 punti segnato,Trevor Lacey,Grant Golden,made,480,2280,780.0,140.0,0
130,3 punti segnato,Kamar Baldwin,Andrejs Grazulis,made,495,2295,855.0,868.0,7
131,2 punti segnato,,Andrea Pecchia,made,514,2314,660.0,168.0,0
132,2 punti sbagliato,,Kamar Baldwin,missed,534,2334,1050.0,532.0,3
133,2 punti sbagliato,,Marcus Zegarowski,missed,547,2347,885.0,224.0,0
134,2 punti sbagliato,,Kamar Baldwin,missed,575,2375,1095.0,504.0,3
135,2 punti sbagliato,,Marcus Zegarowski,missed,595,2395,675.0,224.0,0
136,3 punti sbagliato,,Nathan Adrian,missed,597,2397,1170.0,784.0,7
137,2 punti sbagliato,,Kyle Weems,missed,16,16,990.0,532.0,3
138,2 punti sbagliato,,Aamir Simms,missed,41,41,1080.0,168.0,4
139,3 punti sbagliato,,Retin Obasohan,missed,67,67,825.0,924.0,7
140,2 punti segnato,Amedeo Tessitori,Marco Spissu,made,80,80,810.0,112.0,0
141,2 punti segnato,Marco Spissu,Amedeo Tessitori,made,97,97,720.0,140.0,0
142,3 punti sbagliato,,Mike Daum,missed,120,120,1170.0,868.0,7
143,3 punti sbagliato,,Kyle Weems,missed,124,124,375.0,784.0,6
144,2 punti sbagliato,,Retin Obasohan,missed,134,134,690.0,196.0,0
145,2 punti sbagliato,,Aamir Simms,missed,170,170,930.0,448.0,3
146,2 punti sbagliato,,Mike Daum,missed,190,190,375.0,196.0,1
147,2 punti segnato,,Amedeo Tessitori,made,208,208,840.0,168.0,0
148,2 punti sbagliato,,Tashawn Thomas,missed,265,265,855.0,728.0,3
149,2 punti segnato,,Rayjon Tucker,made,283,283,675.0,252.0,0
150,3 punti sbagliato,,Jordan Parks,missed,290,290,1320.0,644.0,7
151,2 punti segnato,Chris Dowe,Mike Daum,made,310,310,840.0,196.0,0
152,2 punti segnato,Marco Spissu,Amedeo Tessitori,made,323,323,675.0,168.0,0
153,2 punti sbagliato,,Kyle Weems,missed,341,341,630.0,168.0,0
154,3 punti sbagliato,,Tommaso Baldasso,missed,355,355,1455.0,280.0,8
155,2 punti sbagliato,,Chris Dowe,missed,366,366,735.0,196.0,0
156,2 punti sbagliato,,Aamir Simms,missed,373,373,705.0,196.0,0
157,2 punti segnato,Retin Obasohan,Mike Daum,made,380,380,825.0,140.0,0
158,2 punti sbagliato,,Retin Obasohan,missed,409,409,975.0,196.0,0
159,2 punti segnato,Retin Obasohan,Leon Radosevic,made,418,418,900.0,168.0,0
160,3 punti sbagliato,,Kyle Wiltjer,missed,441,441,120.0,532.0,6
161,3 punti sbagliato,,Tommaso Baldasso,missed,466,466,990.0,812.0,7
162,3 punti sbagliato,,Alex O'Connell,missed,483,483,75.0,364.0,5
163,2 punti segnato,,Leonardo Candi,made,500,500,825.0,644.0,3
164,2 punti sbagliato,,Alex O'Connell,missed,520,520,630.0,168.0,0
165,2 punti segnato,Alex O'Connell,Kyle Wiltjer,made,530,530,705.0,168.0,0
166,2 punti sbagliato,,Chris Dowe,missed,535,535,645.0,364.0,0
167,2 punti segnato,,Jordan Parks,made,542,542,765.0,560.0,3
168,2 punti sbagliato,,Davide Casarin,missed,578,578,990.0,532.0,3
169,2 punti segnato,,Leonardo Candi,made,599,599,630.0,560.0,2
170,2 punti segnato,,Davide Casarin,made,14,614,795.0,448.0,3
171,2 punti sbagliato,,Luca Severini,missed,40,640,1170.0,336.0,4
172,3 punti sbagliato,,Luca Severini,missed,74,674,1035.0,868.0,7
173,3 punti sbagliato,,Davide Casarin,missed,93,693,735.0,924.0,6
174,2 punti sbagliato,,Leon Radosevic,missed,112,712,1065.0,196.0,4
175,3 punti segnato,Davide Casarin,Kyle Wiltjer,made,123,723,315.0,756.0,6
176,3 punti sbagliato,,Kyle Wiltjer,missed,146,746,405.0,896.0,6
177,2 punti segnato,,Leonardo Candi,made,158,758,435.0,224.0,1
178,2 punti segnato,,Alex O'Connell,made,172,772,405.0,504.0,2
179,3 punti sbagliato,,Tommaso Baldasso,missed,189,789,315.0,812.0,6
180,2 punti segnato,,Alex O'Connell,made,208,808,840.0,168.0,0
181,3 punti sbagliato,,Riccardo Tavernelli,missed,234,834,915.0,896.0,7
182,3 punti sbagliato,,Davide Casarin,missed,249,849,345.0,784.0,6
183,2 punti sbagliato,,Leonardo Candi,missed,260,860,1065.0,672.0,3
184,2 punti sbagliato,,Leonardo Candi,missed,272,872,720.0,196.0,0
185,2 punti sbagliato,,Rayjon Tucker,missed,286,886,765.0,420.0,3
186,2 punti sbagliato,,Rayjon Tucker,missed,292,892,690.0,196.0,0
187,2 punti segnato,,Barry Brown Jr,made,314,914,855.0,224.0,0
188,2 punti sbagliato,,Mike Daum,missed,336,936,690.0,560.0,2
189,3 punti sbagliato,,Chris Dowe,missed,396,996,975.0,868.0,7
190,2 punti sbagliato,,Aamir Simms,missed,406,1006,630.0,140.0,0
191,3 punti sbagliato,,Barry Brown Jr,missed,423,1023,420.0,812.0,6
192,2 punti sbagliato,,Retin Obasohan,missed,444,1044,990.0,560.0,3
193,2 punti sbagliato,,Kyle Weems,missed,495,1095,825.0,364.0,0
194,2 punti segnato,,Tashawn Thomas,made,500,1100,720.0,224.0,0
195,2 punti segnato,Marco Spissu,Aamir Simms,made,510,1110,705.0,168.0,0
196,2 punti sbagliato,,Chris Dowe,missed,525,1125,840.0,196.0,0
197,2 punti segnato,,Kyle Weems,made,530,1130,825.0,140.0,0
198,3 punti sbagliato,,Jordan Parks,missed,540,1140,300.0,784.0,6
199,2 punti sbagliato,,Kyle Weems,missed,553,1153,435.0,224.0,1
200,3 punti sbagliato,,Kyle Wiltjer,missed,566,1166,1215.0,784.0,7
201,2 punti sbagliato,,Mike Daum,missed,588,1188,1110.0,224.0,4
202,3 punti sbagliato,,Marco Spissu,missed,25,1225,1095.0,840.0,7
203,2 punti segnato,Retin Obasohan,Chris Dowe,made,43,1243,885.0,140.0,0
204,3 punti segnato,Jordan Parks,Marco Spissu,made,62,1262,780.0,868.0,7
205,2 punti sbagliato,,Mike Daum,missed,81,1281,660.0,140.0,0
206,2 punti sbagliato,,Aamir Simms,missed,90,1290,810.0,196.0,0
207,3 punti sbagliato,,Retin Obasohan,missed,98,1298,1410.0,420.0,8
208,2 punti sbagliato,,Mike Daum,missed,105,1305,660.0,168.0,0
209,2 punti segnato,,Jordan Parks,made,116,1316,810.0,420.0,3
210,2 punti segnato,Retin Obasohan,Mike Daum,made,135,1335,675.0,168.0,0
211,3 punti segnato,Marco Spissu,Aamir Simms,made,154,1354,1425.0,504.0,8
212,2 punti segnato,,Chris Dowe,made,166,1366,945.0,280.0,0
213,3 punti segnato,Marco Spissu,Aamir Simms,made,190,1390,1305.0,728.0,7
214,2 punti sbagliato,,Retin Obasohan,missed,209,1409,645.0,196.0,0
215,2 punti sbagliato,,Leonardo Candi,missed,211,1411,585.0,140.0,0
216,3 punti sbagliato,,Marco Spissu,missed,224,1424,540.0,868.0,6
217,3 punti sbagliato,,Chris Dowe,missed,236,1436,1275.0,700.0,7
218,2 punti sbagliato,,Aamir Simms,missed,249,1449,855.0,224.0,0
219,2 punti sbagliato,,Jordan Parks,missed,252,1452,885.0,168.0,0
220,2 punti segnato,,Chris Dowe,made,264,1464,750.0,476.0,2
221,3 punti sbagliato,,Rayjon Tucker,missed,281,1481,780.0,896.0,7
222,2 punti sbagliato,,Aamir Simms,missed,285,1485,735.0,224.0,0
223,2 punti segnato,Chris Dowe,Tashawn Thomas,made,297,1497,705.0,168.0,0
224,2 punti sbagliato,,Jordan Parks,missed,315,1515,720.0,196.0,0
225,2 punti sbagliato,,Retin Obasohan,missed,321,1521,870.0,168.0,0
226,3 punti sbagliato,,Barry Brown Jr,missed,337,1537,1125.0,812.0,7
227,2 punti segnato,,Jordan Parks,made,367,1567,705.0,224.0,0
228,2 punti segnato,,Mike Daum,made,389,1589,675.0,252.0,0
229,2 punti sbagliato,,Kyle Wiltjer,missed,413,1613,915.0,336.0,0
230,2 punti segnato,,Kyle Wiltjer,made,419,1619,675.0,196.0,0
231,2 punti sbagliato,,Tashawn Thomas,missed,437,1637,645.0,252.0,0
232,2 punti segnato,,Kyle Wiltjer,made,457,1657,885.0,420.0,3
233,3 punti sbagliato,,Tommaso Baldasso,missed,477,1677,825.0,952.0,7
234,2 punti sbagliato,,Barry Brown Jr,missed,489,1689,795.0,504.0,3
235,3 punti sbagliato,,Kyle Weems,missed,501,1701,1200.0,812.0,7
236,2 punti segnato,,Retin Obasohan,made,529,1729,735.0,224.0,0
237,2 punti segnato,,Kyle Wiltjer,made,561,1761,720.0,280.0,0
238,3 punti sbagliato,,Tommaso Baldasso,missed,582,1782,315.0,868.0,6
239,3 punti sbagliato,,Barry Brown Jr,missed,594,1794,825.0,868.0,7
240,2 punti sbagliato,,Davide Casarin,missed,599,1799,705.0,196.0,0
241,2 punti sbagliato,,Alex O'Connell,missed,9,1809,675.0,140.0,0
242,3 punti sbagliato,,Barry Brown Jr,missed,50,1850,1455.0,196.0,8
243,2 punti segnato,Luca Severini,Retin Obasohan,made,59,1859,690.0,140.0,0
244,2 punti sbagliato,,Davide Casarin,missed,81,1881,900.0,476.0,3
245,3 punti segnato,Jeff Brooks,Kyle Wiltjer,made,88,1888,300.0,756.0,6
246,2 punti segnato,Kyle Wiltjer,Davide Casarin,made,120,1920,825.0,140.0,0
247,2 punti segnato,,Chris Dowe,made,126,1926,840.0,140.0,0
248,3 punti segnato,Davide Casarin,Kyle Wiltjer,made,146,1946,315.0,784.0,6
249,3 punti sbagliato,,Mike Daum,missed,155,1955,1215.0,728.0,7
250,2 punti segnato,Davide Casarin,Marco Spissu,made,168,1968,720.0,168.0,0
251,2 punti segnato,Tashawn Thomas,Mike Daum,made,192,1992,870.0,168.0,0
252,3 punti sbagliato,,Davide Casarin,missed,209,2009,465.0,812.0,6
253,2 punti sbagliato,,Kyle Wiltjer,missed,214,2014,705.0,196.0,0
254,3 punti sbagliato,,Kyle Weems,missed,220,2020,135.0,560.0,6
255,3 punti sbagliato,,Alex O'Connell,missed,232,2032,285.0,756.0,6
256,2 punti segnato,Chris Dowe,Mike Daum,made,240,2040,870.0,196.0,0
257,3 punti sbagliato,,Alex O'Connell,missed,246,2046,1035.0,840.0,7
258,2 punti segnato,,Mike Daum,made,253,2053,705.0,168.0,0
259,2 punti segnato,Marco Spissu,Amedeo Tessitori,made,269,2069,705.0,168.0,0
260,2 punti segnato,Retin Obasohan,Tashawn Thomas,made,285,2085,675.0,168.0,0
261,3 punti sbagliato,,Jeff Brooks,missed,304,2104,90.0,448.0,5
262,3 punti sbagliato,,Mike Daum,missed,314,2114,1290.0,700.0,7
263,2 punti sbagliato,,Jeff Brooks,missed,338,2138,855.0,140.0,0
264,2 punti sbagliato,,Chris Dowe,missed,361,2161,795.0,364.0,0
265,2 punti sbagliato,,Retin Obasohan,missed,382,2182,465.0,336.0,2
266,3 punti sbagliato,,Chris Dowe,missed,415,2215,1110.0,840.0,7
267,2 punti segnato,,Tashawn Thomas,made,440,2240,735.0,168.0,0
268,3 punti segnato,Marco Spissu,Rayjon Tucker,made,462,2262,60.0,168.0,5
269,2 punti segnato,,Chris Dowe,made,486,2286,705.0,196.0,0
270,3 punti sbagliato,,Kyle Wiltjer,missed,523,2323,1095.0,840.0,7
271,3 punti sbagliato,,Jordan Parks,missed,557,2357,1110.0,868.0,7
272,2 punti segnato,,Jordan Parks,made,586,2386,825.0,168.0,0
273,3 punti sbagliato,,Mike Daum,missed,595,2395,1275.0,756.0,7
274,2 punti segnato,Semaj Christon,Kenny Gabriel,made,19,19,780.0,168.0,0
275,2 punti sbagliato,,Leonardo Totè,missed,43,43,795.0,196.0,0
276,2 punti segnato,,Kenny Gabriel,made,64,64,705.0,196.0,0
277,2 punti segnato,Matteo Tambone,Quincy Ford,made,94,94,795.0,168.0,0
278,2 punti segnato,,John Petrucelli,made,98,98,810.0,168.0,0
279,3 punti sbagliato,,Trevon Bluiett,missed,114,114,900.0,952.0,7
280,2 punti segnato,,Amedeo Della Valle,made,129,129,795.0,224.0,0
281,2 punti segnato,,Matteo Tambone,made,152,152,735.0,476.0,2
282,2 punti sbagliato,,Semaj Christon,missed,174,174,945.0,336.0,3
283,2 punti segnato,Miro Bilan,Amedeo Della Valle,made,179,179,1005.0,308.0,3
284,2 punti segnato,Trevon Bluiett,Leonardo Totè,made,195,195,570.0,588.0,2
285,2 punti segnato,Semaj Christon,Kenny Gabriel,made,209,209,1185.0,196.0,4
286,2 punti segnato,,Leonardo Totè,made,230,230,885.0,196.0,0
287,3 punti sbagliato,,John Petrucelli,missed,236,236,315.0,756.0,6
288,3 punti segnato,Leonardo Totè,Trevon Bluiett,made,250,250,1425.0,504.0,8
289,2 punti segnato,,John Petrucelli,made,270,270,855.0,196.0,0
290,3 punti segnato,Ray Mccallum,Trevon Bluiett,made,297,297,345.0,756.0,6
291,2 punti segnato,,Miro Bilan,made,321,321,675.0,168.0,0
292,2 punti segnato,,Amedeo Della Valle,made,341,341,765.0,196.0,0
293,3 punti segnato,Matteo Tambone,Trevon Bluiett,made,362,362,225.0,644.0,6
294,3 punti segnato,Scott Bamforth,Trevon Bluiett,made,395,395,705.0,924.0,6
295,2 punti sbagliato,,Miro Bilan,missed,412,412,960.0,336.0,3
296,2 punti segnato,Amedeo Della Valle,Jason Burnell,made,426,426,705.0,168.0,0
297,2 punti sbagliato,,Amedeo Della Valle,missed,471,471,405.0,224.0,1
298,2 punti sbagliato,,Gavin Schilling,missed,492,492,705.0,308.0,0
299,3 punti sbagliato,,C.J. Massinburg,missed,507,507,1185.0,756.0,7
300,3 punti sbagliato,,Scott Bamforth,missed,519,519,1155.0,840.0,7
301,2 punti segnato,,David Reginald Cournooh,made,541,541,930.0,532.0,3
302,3 punti sbagliato,,Matteo Tambone,missed,562,562,570.0,896.0,6
303,2 punti sbagliato,,Jason Burnell,missed,587,587,600.0,448.0,2
304,2 punti sbagliato,,Michael Cobbins,missed,598,598,540.0,252.0,0
305,2 punti segnato,Jason Burnell,C.J. Massinburg,made,598,598,1185.0,504.0,3
306,3 punti sbagliato,,Scott Bamforth,missed,12,612,1080.0,784.0,7
307,2 punti segnato,,Jason Burnell,made,32,632,645.0,280.0,0
308,3 punti sbagliato,,Riccardo Visconti,missed,51,651,765.0,896.0,7
309,2 punti segnato,David Reginald Cournooh,Nicola Akele,made,108,708,285.0,280.0,1
310,3 punti sbagliato,,C.J. Massinburg,missed,123,723,1470.0,224.0,8
311,3 punti segnato,C.J. Massinburg,Nicola Akele,made,133,733,1440.0,364.0,8
312,2 punti segnato,Valerio Mazzola,Scott Bamforth,made,159,759,1320.0,112.0,4
313,2 punti sbagliato,,Jason Burnell,missed,184,784,705.0,392.0,0
314,2 punti sbagliato,,Trevon Bluiett,missed,214,814,570.0,644.0,2
315,2 punti segnato,,Gavin Schilling,made,214,814,570.0,644.0,2
316,3 punti segnato,,David Reginald Cournooh,made,232,832,420.0,840.0,6
317,2 punti sbagliato,,C.J. Massinburg,missed,257,857,705.0,196.0,0
318,2 punti sbagliato,,Gavin Schilling,missed,272,872,735.0,168.0,0
319,2 punti segnato,,Semaj Christon,made,287,887,735.0,588.0,2
320,3 punti sbagliato,,Kenny Gabriel,missed,339,939,75.0,392.0,5
321,2 punti sbagliato,,Miro Bilan,missed,373,973,705.0,196.0,0
322,2 punti segnato,,Miro Bilan,made,373,973,705.0,196.0,0
323,3 punti segnato,Trevon Bluiett,Matteo Tambone,made,394,994,225.0,644.0,6
324,2 punti sbagliato,,Amedeo Della Valle,missed,414,1014,675.0,476.0,2
325,3 punti sbagliato,,Ray Mccallum,missed,454,1054,90.0,504.0,5
326,3 punti sbagliato,,Amedeo Della Valle,missed,460,1060,1185.0,784.0,7
327,2 punti sbagliato,,Miro Bilan,missed,468,1068,1035.0,308.0,4
328,2 punti sbagliato,,Matteo Tambone,missed,493,1093,765.0,224.0,0
329,3 punti sbagliato,,Semaj Christon,missed,502,1102,225.0,700.0,6
330,3 punti segnato,Trevon Bluiett,Matteo Tambone,made,512,1112,495.0,840.0,6
331,3 punti sbagliato,,Trevon Bluiett,missed,551,1151,585.0,896.0,6
332,2 punti segnato,,Trevon Bluiett,made,567,1167,795.0,252.0,0
333,2 punti sbagliato,,Semaj Christon,missed,581,1181,765.0,504.0,3
334,2 punti segnato,Amedeo Della Valle,Jason Burnell,made,598,1198,750.0,252.0,0
335,3 punti sbagliato,,Kenny Gabriel,missed,14,1214,30.0,196.0,5
336,2 punti segnato,Amedeo Della Valle,Kenny Gabriel,made,37,1237,750.0,140.0,0
337,2 punti segnato,Ray Mccallum,Leonardo Totè,made,60,1260,765.0,140.0,0
338,2 punti sbagliato,,John Petrucelli,missed,81,1281,870.0,196.0,0
339,2 punti segnato,Semaj Christon,Kenny Gabriel,made,82,1282,1005.0,364.0,3
340,3 punti segnato,Scott Bamforth,Quincy Ford,made,101,1301,1260.0,700.0,7
341,2 punti segnato,,Semaj Christon,made,114,1314,780.0,588.0,3
342,2 punti segnato,,Trevon Bluiett,made,135,1335,810.0,196.0,0
343,2 punti sbagliato,,Semaj Christon,missed,159,1359,930.0,588.0,3
