,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
4691,2 punti segnato,Scott Bamforth,Leonardo Totè,made,258,258,555.0,280.0,0
4692,3 punti sbagliato,,Scott Bamforth,missed,278,278,1200.0,784.0,7
4693,2 punti segnato,Scott Bamforth,Leonardo Totè,made,279,279,765.0,140.0,0
4694,3 punti sbagliato,,Trevon Bluiett,missed,306,306,495.0,896.0,6
4695,2 punti segnato,,Scott Bamforth,made,322,322,750.0,588.0,2
4696,3 punti sbagliato,,Sean Mcdermott,missed,338,338,1065.0,896.0,7
4697,2 punti segnato,,Andrea Cinciarini,made,358,358,435.0,168.0,1
4698,2 punti sbagliato,,Sean Mcdermott,missed,373,373,825.0,560.0,3
4699,2 punti segnato,Andrea Cinciarini,Leonardo Totè,made,385,385,570.0,644.0,2
4700,3 punti segnato,,Olivier Hanlan,made,401,401,1290.0,784.0,7
4701,3 punti sbagliato,,Matteo Librizzi,missed,426,426,525.0,896.0,6
4702,2 punti sbagliato,,Olivier Hanlan,missed,440,440,675.0,644.0,2
4703,2 punti sbagliato,,Andrea Cinciarini,missed,457,457,705.0,644.0,2
4704,2 punti segnato,,Gabe Brown,made,467,467,900.0,224.0,0
4705,2 punti segnato,,Gabe Brown,made,491,491,720.0,224.0,0
4706,3 punti sbagliato,,Riccardo Visconti,missed,508,508,255.0,756.0,6
4707,3 punti sbagliato,,James Young,missed,529,529,210.0,700.0,6
4708,3 punti sbagliato,,Gabe Brown,missed,549,549,690.0,1036.0,6
4709,2 punti segnato,,Quincy Ford,made,565,565,630.0,364.0,0
4710,3 punti sbagliato,,Scott Bamforth,missed,593,593,960.0,896.0,7
4711,3 punti sbagliato,,Niccolò Mannion,missed,19,619,945.0,980.0,7
4712,2 punti segnato,,Quincy Ford,made,26,626,900.0,476.0,3
4713,2 punti sbagliato,,Quincy Ford,missed,40,640,855.0,364.0,0
4714,2 punti sbagliato,,Quincy Ford,missed,44,644,810.0,448.0,3
4715,2 punti segnato,,Matteo Librizzi,made,61,661,660.0,336.0,0
4716,3 punti sbagliato,,Matteo Tambone,missed,93,693,90.0,476.0,5
4717,3 punti sbagliato,,James Young,missed,104,704,135.0,532.0,6
4718,3 punti segnato,Matteo Tambone,Scott Bamforth,made,116,716,1455.0,420.0,8
4719,3 punti segnato,Riccardo Visconti,Scott Bamforth,made,133,733,1395.0,532.0,7
4720,3 punti sbagliato,,Matteo Librizzi,missed,150,750,240.0,728.0,6
4721,3 punti segnato,Sean Mcdermott,Matteo Librizzi,made,181,781,375.0,812.0,6
4722,3 punti sbagliato,,Matteo Tambone,missed,200,800,855.0,952.0,7
4723,2 punti segnato,,Matteo Librizzi,made,217,817,495.0,644.0,2
4724,3 punti sbagliato,,Riccardo Visconti,missed,233,833,1275.0,728.0,7
4725,3 punti sbagliato,,Quincy Ford,missed,249,849,210.0,644.0,6
4726,3 punti sbagliato,,Matteo Librizzi,missed,261,861,465.0,868.0,6
4727,2 punti sbagliato,,Scott Bamforth,missed,278,878,1125.0,364.0,4
4728,2 punti segnato,,Quincy Ford,made,307,907,630.0,532.0,2
4729,2 punti segnato,,Gabe Brown,made,332,932,615.0,196.0,0
4730,3 punti sbagliato,,Quincy Ford,missed,352,952,60.0,336.0,5
4731,3 punti segnato,Trevon Bluiett,Scott Bamforth,made,357,957,1200.0,784.0,7
4732,3 punti sbagliato,,Olivier Hanlan,missed,374,974,1275.0,812.0,7
4733,2 punti segnato,,Scott Bamforth,made,394,994,1125.0,560.0,3
4734,2 punti segnato,,Valerio Mazzola,made,437,1037,630.0,364.0,0
4735,2 punti segnato,,Gabe Brown,made,450,1050,810.0,252.0,0
4736,2 punti sbagliato,,Andrea Cinciarini,missed,470,1070,1005.0,364.0,3
4737,2 punti segnato,,Leonardo Totè,made,477,1077,765.0,420.0,3
4738,2 punti sbagliato,,Valerio Mazzola,missed,511,1111,1050.0,420.0,3
4739,2 punti sbagliato,,Trevon Bluiett,missed,534,1134,780.0,700.0,3
4740,2 punti segnato,,Niccolò Mannion,made,542,1142,690.0,280.0,0
4741,2 punti sbagliato,,Andrea Cinciarini,missed,562,1162,930.0,392.0,3
4742,2 punti segnato,,Andrea Cinciarini,made,587,1187,885.0,336.0,0
4743,2 punti segnato,,Olivier Hanlan,made,594,1194,345.0,308.0,1
4744,3 punti sbagliato,,Scott Bamforth,missed,8,1208,1410.0,532.0,8
4745,2 punti sbagliato,,Skylar Spencer,missed,30,1230,885.0,364.0,3
4746,2 punti sbagliato,,Leonardo Totè,missed,47,1247,750.0,140.0,0
4747,3 punti sbagliato,,Olivier Hanlan,missed,56,1256,240.0,700.0,6
4748,2 punti sbagliato,,Gabe Brown,missed,72,1272,750.0,756.0,2
4749,2 punti segnato,Scott Bamforth,Quincy Ford,made,83,1283,855.0,420.0,3
4750,3 punti sbagliato,,Riccardo Visconti,missed,126,1326,1155.0,868.0,7
4751,3 punti sbagliato,,Niccolò Mannion,missed,152,1352,435.0,840.0,6
4752,2 punti segnato,,Leonardo Totè,made,163,1363,570.0,308.0,0
4753,2 punti sbagliato,,Olivier Hanlan,missed,173,1373,360.0,560.0,2
4754,3 punti segnato,Sean Mcdermott,Olivier Hanlan,made,179,1379,60.0,308.0,5
4755,2 punti sbagliato,,Niccolò Mannion,missed,205,1405,720.0,420.0,2
4756,3 punti segnato,,Scott Bamforth,made,220,1420,345.0,812.0,6
4757,3 punti segnato,Andriu Tomas Woldetensae,James Young,made,235,1435,135.0,560.0,6
4758,2 punti sbagliato,,Riccardo Visconti,missed,257,1457,705.0,644.0,2
4759,3 punti segnato,James Young,Sean Mcdermott,made,264,1464,285.0,756.0,6
4760,3 punti segnato,Andriu Tomas Woldetensae,Sean Mcdermott,made,299,1499,1290.0,756.0,7
4761,2 punti sbagliato,,Scott Bamforth,missed,322,1522,855.0,504.0,3
4762,2 punti segnato,,Matteo Tambone,made,362,1562,960.0,728.0,3
4763,2 punti sbagliato,,Andriu Tomas Woldetensae,missed,379,1579,585.0,420.0,2
4764,2 punti sbagliato,,Skylar Spencer,missed,385,1585,1020.0,392.0,3
4765,2 punti segnato,,Skylar Spencer,made,385,1585,1020.0,392.0,3
4766,2 punti sbagliato,,Leonardo Totè,missed,407,1607,765.0,140.0,0
4767,3 punti sbagliato,,Quincy Ford,missed,434,1634,120.0,560.0,6
4768,3 punti sbagliato,,Andriu Tomas Woldetensae,missed,454,1654,255.0,924.0,6
4769,3 punti segnato,Andriu Tomas Woldetensae,James Young,made,509,1709,1125.0,868.0,7
4770,3 punti segnato,Andriu Tomas Woldetensae,Matteo Librizzi,made,539,1739,180.0,672.0,6
4771,3 punti segnato,Andrea Cinciarini,Trevon Bluiett,made,562,1762,1050.0,868.0,7
4772,3 punti sbagliato,,Matteo Librizzi,missed,584,1784,270.0,756.0,6
4773,2 punti segnato,Matteo Librizzi,James Young,made,594,1794,900.0,280.0,0
4774,2 punti sbagliato,,Olivier Hanlan,missed,6,1806,615.0,504.0,2
4775,3 punti sbagliato,,Valerio Mazzola,missed,24,1824,1440.0,504.0,8
4776,2 punti sbagliato,,Andrea Cinciarini,missed,34,1834,1005.0,532.0,3
4777,2 punti sbagliato,,Niccolò Mannion,missed,59,1859,765.0,476.0,3
4778,2 punti sbagliato,,Niccolò Mannion,missed,59,1859,765.0,476.0,3
4779,3 punti sbagliato,,Andrea Cinciarini,missed,73,1873,1185.0,924.0,7
4780,2 punti segnato,,Niccolò Mannion,made,80,1880,630.0,308.0,0
4781,2 punti segnato,,Niccolò Mannion,made,112,1912,945.0,364.0,3
4782,2 punti sbagliato,,Matteo Tambone,missed,115,1915,660.0,532.0,2
4783,2 punti sbagliato,,Niccolò Mannion,missed,170,1970,405.0,588.0,2
4784,2 punti sbagliato,,Niccolò Mannion,missed,183,1983,285.0,420.0,1
4785,3 punti sbagliato,,Andrea Cinciarini,missed,203,2003,1095.0,924.0,7
4786,3 punti segnato,Scott Bamforth,Valerio Mazzola,made,231,2031,1005.0,868.0,7
4787,2 punti sbagliato,,Scott Bamforth,missed,250,2050,585.0,644.0,2
4788,2 punti sbagliato,,Olivier Hanlan,missed,262,2062,840.0,364.0,0
4789,2 punti sbagliato,,Leonardo Totè,missed,286,2086,585.0,644.0,2
4790,3 punti segnato,,Niccolò Mannion,made,295,2095,795.0,952.0,7
4791,2 punti sbagliato,,Scott Bamforth,missed,317,2117,555.0,560.0,2
4792,2 punti segnato,,Niccolò Mannion,made,366,2166,765.0,140.0,0
4793,2 punti segnato,,Niccolò Mannion,made,399,2199,705.0,196.0,0
4794,2 punti sbagliato,,Skylar Spencer,missed,428,2228,645.0,168.0,0
4795,2 punti sbagliato,,Gabe Brown,missed,452,2252,525.0,252.0,0
4796,3 punti segnato,,Niccolò Mannion,made,472,2272,660.0,924.0,6
4797,2 punti segnato,Olivier Hanlan,Skylar Spencer,made,500,2300,765.0,112.0,0
4798,3 punti segnato,,Niccolò Mannion,made,545,2345,1320.0,728.0,7
4799,2 punti segnato,,Andrea Cinciarini,made,573,2373,825.0,364.0,0
4800,3 punti sbagliato,,Andrea Cinciarini,missed,587,2387,765.0,952.0,7
4801,3 punti sbagliato,,Breein Tyree,missed,22,22,1020.0,812.0,7
4802,2 punti sbagliato,,Alessandro Cappelletti,missed,28,28,885.0,280.0,0
4803,3 punti segnato,Briante Weber,Langston Galloway,made,35,35,45.0,364.0,5
4804,2 punti sbagliato,,Vasilis Charalampopoulos,missed,53,53,555.0,364.0,2
4805,2 punti segnato,,Breein Tyree,made,69,69,915.0,196.0,0
4806,2 punti sbagliato,,Kevin Juwan Hervey,missed,100,100,495.0,476.0,2
4807,2 punti sbagliato,,Vasilis Charalampopoulos,missed,104,104,885.0,392.0,3
4808,2 punti segnato,,Alfonzo Mckinnie,made,104,104,885.0,392.0,3
4809,2 punti sbagliato,,Stephane Gombauld,missed,124,124,945.0,252.0,0
4810,2 punti segnato,Briante Weber,Mouhamed Faye,made,132,132,765.0,168.0,0
4811,2 punti sbagliato,,Langston Galloway,missed,185,185,855.0,392.0,3
4812,3 punti sbagliato,,Alfonzo Mckinnie,missed,194,194,1380.0,504.0,8
4813,3 punti sbagliato,,Jamar Smith,missed,203,203,270.0,728.0,6
4814,2 punti segnato,,Alessandro Cappelletti,made,210,210,630.0,140.0,0
4815,2 punti segnato,,Alessandro Cappelletti,made,229,229,945.0,196.0,0
4816,2 punti segnato,Darion Atkins,Langston Galloway,made,277,277,1305.0,196.0,4
4817,2 punti sbagliato,,Alfonzo Mckinnie,missed,301,301,1305.0,252.0,4
