"description","assist","player","result","periodTime","totalTime","xx","yy"
"2 punti sbagliato","","Tornike Shengelia","missed",439,439,645,280
"2 punti sbagliato","","Deishuan Booker","missed",451,451,660,224
"3 punti sbagliato","","Jaleen Smith","missed",458,458,45,196
"3 punti sbagliato","","Andrea Mezzanotte","missed",492,492,225,700
"3 punti sbagliato","","Deishuan Booker","missed",532,532,675,924
"2 punti sbagliato","","Alessandro Pajola","missed",539,539,1155,364
"2 punti segnato","","Deishuan Booker","made",566,566,705,224
"3 punti sbagliato","","Andrea Mezzanotte","missed",593,593,750,952
"2 punti segnato","Ognjen Dobric","Tornike Shengelia","made",599,599,825,196
"2 punti sbagliato","","Jaleen Smith","missed",15,615,705,644
"3 punti sbagliato","","Terry Allen","missed",27,627,1290,728
"3 punti sbagliato","","Alessandro Pajola","missed",38,638,690,924
"2 punti segnato","","Terry Allen","made",62,662,870,196
"2 punti segnato","","Tornike Shengelia","made",88,688,750,168
"2 punti segnato","Jaleen Smith","Tornike Shengelia","made",124,724,825,196
"2 punti segnato","Terry Allen","Gora Camara","made",151,751,750,140
"2 punti segnato","Daniel Hackett","Jaleen Smith","made",163,763,690,224
"3 punti sbagliato","","Terry Allen","missed",178,778,615,896
"2 punti segnato","Andrea Mezzanotte","Terry Allen","made",186,786,705,168
"2 punti sbagliato","","Andrea Mezzanotte","missed",186,786,750,196
"2 punti segnato","Tornike Shengelia","Devontae Cacok","made",205,805,825,224
"2 punti sbagliato","","Alessandro Zanelli","missed",223,823,225,168
"2 punti sbagliato","","Tornike Shengelia","missed",242,842,795,308
"2 punti segnato","","Daniel Hackett","made",250,850,945,532
"2 punti sbagliato","","Alessandro Zanelli","missed",262,862,960,700
"3 punti sbagliato","","Daniel Hackett","missed",270,870,1470,140
"2 punti sbagliato","","D'Angelo Harrison","missed",282,882,630,224
"2 punti segnato","","Gora Camara","made",282,882,630,224
"2 punti sbagliato","","Daniel Hackett","missed",301,901,975,532
"3 punti segnato","Daniel Hackett","Ognjen Dobric","made",310,910,1455,224
"2 punti sbagliato","","Gora Camara","missed",336,936,750,364
"3 punti sbagliato","","Leonardo Faggian","missed",344,944,105,532
"2 punti segnato","Andrea Mezzanotte","Deishuan Booker","made",364,964,1365,308
"3 punti sbagliato","","Deishuan Booker","missed",385,985,1125,896
"2 punti segnato","","Deishuan Booker","made",391,991,675,196
"2 punti segnato","","Marco Belinelli","made",408,1008,1140,560
"3 punti sbagliato","","Andrea Mezzanotte","missed",426,1026,1215,784
"3 punti sbagliato","","Marco Belinelli","missed",436,1036,705,868
"2 punti sbagliato","","Isaia Cordinier","missed",453,1053,750,140
"2 punti segnato","Deishuan Booker","Pauly Paulicap","made",474,1074,750,168
"2 punti sbagliato","","Marco Belinelli","missed",489,1089,855,196
"2 punti sbagliato","","Abass Awudu Abass","missed",497,1097,780,168
"3 punti sbagliato","","Isaia Cordinier","missed",507,1107,150,644
"3 punti sbagliato","","Alessandro Zanelli","missed",529,1129,270,728
"3 punti segnato","Tornike Shengelia","Abass Awudu Abass","made",550,1150,1470,364
"3 punti sbagliato","","Marco Belinelli","missed",568,1168,345,784
"2 punti segnato","","Tornike Shengelia","made",573,1173,840,280
"3 punti segnato","D'Angelo Harrison","Alessandro Zanelli","made",594,1194,690,952
"3 punti segnato","Tornike Shengelia","Abass Awudu Abass","made",14,1214,45,112
"2 punti sbagliato","","D'Angelo Harrison","missed",33,1233,675,616
"2 punti sbagliato","","Tornike Shengelia","missed",47,1247,825,364
"2 punti sbagliato","","Terry Allen","missed",55,1255,600,196
"2 punti sbagliato","","Daniel Hackett","missed",64,1264,600,308
"2 punti segnato","Isaia Cordinier","Daniel Hackett","made",83,1283,705,728
"2 punti segnato","Deishuan Booker","Terry Allen","made",121,1321,675,140
"3 punti sbagliato","","Abass Awudu Abass","missed",133,1333,1455,448
"2 punti segnato","Tornike Shengelia","Abass Awudu Abass","made",139,1339,660,196
"2 punti sbagliato","","Pauly Paulicap","missed",159,1359,645,252
"3 punti sbagliato","","Terry Allen","missed",165,1365,360,952
"2 punti sbagliato","","Andrea Mezzanotte","missed",211,1411,645,252
"2 punti segnato","","Andrea Mezzanotte","made",211,1411,645,252
"2 punti segnato","Tornike Shengelia","Isaia Cordinier","made",232,1432,750,140
"2 punti sbagliato","","D'Angelo Harrison","missed",252,1452,750,756
"3 punti segnato","Daniel Hackett","Abass Awudu Abass","made",282,1482,60,448
"2 punti segnato","D'Angelo Harrison","Andrea Mezzanotte","made",308,1508,645,168
"3 punti sbagliato","","Isaia Cordinier","missed",329,1529,1365,588
"2 punti segnato","Isaia Cordinier","Tornike Shengelia","made",342,1542,750,140
"2 punti segnato","","Andrea Mezzanotte","made",362,1562,840,224
"2 punti segnato","Alessandro Pajola","Marco Belinelli","made",380,1580,840,196
"3 punti sbagliato","","D'Angelo Harrison","missed",395,1595,1245,784
"2 punti sbagliato","","Alessandro Pajola","missed",403,1603,1005,588
"2 punti sbagliato","","Isaia Cordinier","missed",403,1603,1005,588
"3 punti segnato","Marco Belinelli","Isaia Cordinier","made",414,1614,165,616
"3 punti sbagliato","","Deishuan Booker","missed",426,1626,855,952
"3 punti segnato","Alessandro Pajola","Abass Awudu Abass","made",442,1642,1350,644
